,Product,Price,Size,Price per Unit,Serving size,Calories,Total Fat,Total Fat(g),Saturated fat,Saturated Fat(g),Trans Fat(g),Cholesterol,Cholesterol(mg),Sodium,Sodium(mg),Total Carbohydrates,Total Carbohydrates(g),Dietery Fiber,Dietery Fiber(g),Sugars(g),Protein(g),Vitamin A,Vitamin C,Calcium,Calcium(mg),Iron,Iron(mg),Potassium,Potassium(mg)
16,All Purpose Flour [Gluteen Free],$3.99 ,16 oz,$0.25/oz,0.25 cup,110,1%,1,0%,0,0,0%,0,1%,15,8%,23,4%,1,0,2,0,0,1%,10,4%,1,0,0
17,Allulose Sweetner Blend,$4.99 ,12 oz,$0.42/oz,2 tsp,0,0%,0,0%,0,0,0%,0,0%,0,3%,8,0%,0,0,0,0,0,0,0,0,0,0%,0
18,"Almond Beverage [Organic, Original]",$2.19 ,32 oz,$0.07/oz,1 cup,40,4%,3,0%,0,0,0%,0,7%,150,1%,2,4%,1,1,1,10%,0,4%,50,0%,0,0,0
19,Almond Beverage [Unsweetened Vanilla],$1.79 ,32 fl oz,$0.06/fl oz,1 cup,30,3%,2.5,0%,0,0,0%,0,8%,190,0%,1,2%,0.5,1,1,0,0,30%,390,2%,0,1%,35
20,Non Diary Almond Beverage Unsweetened Original,$1.99 ,32 fl oz,$0.06/fl oz,1 cup,30,3%,2.5,0%,0,0,0%,0,7%,160,0%,1,2%,0.5,1,1,0,0,30%,390,2%,0,1%,35
21,Almond Beverage Orignial Vanilla,$2.69 ,64 fl oz,$0.04/fl oz,1 cup,40,5%,3,0%,0,0,0%,0,8%,180,1%,2,4%,1,1,1,0,0,0,0,0,0,0,0
22,Almond Butter[Curnchy Unsalted],$6.49 ,16 oz,$0.41/oz,2 tbsp,190,26%,17,5%,1,0,0%,0,0%,0,2%,6,12%,3,2,8,0%,0%,10%,0,6%,0,0,0
23,Almond Butter [Creamy with Sea Salt],$6.49 ,16 oz,$0.41/oz,2 tbsp,190,26%,17,5%,1,0,0%,0,3%,60,2%,6,12%,3,2,8,0%,0%,10%,0,6%,0,0,0
24,Almond Butter Chia Overnight Oats,$2.29 ,5.5 oz,$0.42/oz,1 container,340,26%,20,13%,2.5,0,0%,0,17%,160,12%,33,29%,8,13,12,0,0,10%,130,15%,3,10%,470
25,Almond Butter Granola,$3.69 ,12 oz,$0.31/oz,.7 cup,280,15%,12,10%,2,0,0%,0,6%,130,13%,37,14%,4,12,6,0,0,4%,50,9%,2,4%,210
26,Almond Butter Puff Cereal,$3.49 ,9 oz,$0.39/oz,1 cup,200,13%,10,5%,1,0,0%,0,3%,80,7%,20,7%,2,6,6,0,0,5%,60,7%,1,4%,180
27,Almond Cashew & Macadamia Nut Beverage,$2.29 ,32 fl oz,$0.07/fl oz,1 cup,30,3%,2.5,0%,0,0,0%,0,5%,120,0%,1,2%,0.5,0,1,0,0,12%,160,2%,0,1%,30
28,Almond Flour Chocolate Chip Cookie Baking mix,$4.99 ,9.4 oz,$0.53/oz,.1 pkg dry mix,110,9%,7,8%,1.5,0,0%,0,4%,90,4%,12,4%,1,6,2,0,0,3%,40,7%,1,2%,110
29,Organic Raw Almonds,$3.49 ,8 oz,$0.44/oz,.3 cup,170,23%,15,5%,1,0,0%,0,0%,0,2%,6,16%,4,1,6,0%,0%,8%,0,8%,0,0,0
30,Almonds Dry Roasted & Salted,$5.99 ,16 oz,$0.37/oz,.3 cup,170,23%,15,5%,1,0,0%,0,5%,115,2%,5,16%,4,1,7,0%,0%,8%,0,6%,0,0,0
31,Raw Slivered Almonds,$4.99 ,1 lb,$4.99/lb,.3 cup,170,23%,15,5%,1,0,0%,0,0%,0,2%,6,12%,3,1,7,0%,0%,5%,0,6%,0,6%,198
32,"Organic Almonds, Raw",$7.99 ,10 oz,$0.80/oz,1 oz,170,15%,12,5%,1,0,0%,0,0%,5,3%,8,14%,4,1,6,0,0,4%,49,6%,1,3%,139
33,Aloe Vera Juice,$9.99 ,128 oz,$0.08/oz,8 fl oz,35,0%,0,0%,0,0,0%,0,4%,90,3%,10,0%,0,8,0,0%,2%,2%,0,0%,0,0,0
34,Aloha Rolls [Sweet Pull Apart],$2.99 ,12 oz,$0.25/oz,1 roll,90,1%,1,0%,0,0,1%,2.5,5%,110,7%,19,4%,1,5,5,0,0,0%,0,4%,1,1%,30
35,Kati Pouches,$2.49 ,8 oz,$0.31/oz,1 pouch,270,17%,13,13%,2.5,0,2%,5,29%,660,12%,34,14%,4,4,7,0,0,2%,30,19%,3,6%,270
36,Anchovy [flat fillet],$1.59 ,2 oz,$0.80/oz,6 pieces,25,2%,1,0%,0,0,7%,20,30%,700,0%,0,0%,0,0,4,0%,0%,4%,40,2%,0,0%,0
37,Ancient Grains & Nuts Granola,$3.49 ,12 oz,$0.29/oz,.8 cup,220,15%,10,20%,4,0,0%,0,1%,15,3%,95,16%,4,8,5,0%,0%,2%,0,8%,0,0,0
38,Ancient Grains & Supper seed Oatmeal,$4.49 ,10 oz,$0.45/oz,.3 cup,160,9%,6,5%,1,0,0%,0,1%,35,8%,24,16%,4,1,6,0%,0%,4%,0,6%,0,0,0
39,"Angus Beef, Burger",$6.99 ,16 oz,$0.44/oz,1 patty,290,35%,23,45%,9,2,27%,80,3%,75,0%,0,0%,0,0,19,0%,0%,2%,0,10%,0,0,0
40,"Angus Beef, center cut filet mignon steak",$29.99 ,1 lb,$29.99/lb,4 oz,280,32%,21,45%,9,1,33%,100,3%,60,0%,0,0%,0,0,22,0%,0%,2%,0,8%,0,10%,3
41,"Angus Beef, Filet mignon Premium steak",$24.99 ,1 lb,$24.99/lb,4 oz,280,32%,21,45%,9,1,33%,100,3%,60,0%,0,0%,0,0,22,0%,0%,2%,0,8%,0,10%,3
42,Angus Ground Beef,$5.99 ,16 oz,$0.37/oz,4 oz,190,20%,13,35%,7,1,20%,60,3%,70,0%,0.5,2%,0.5,1,20,0%,0%,0%,0,15%,0,0,0
43,New York Strip steak,$19.99 ,1 lb,$19.99/lb,4 oz,260,28%,18,35%,7,1,30%,90,3%,60,0%,0,0%,0,0,23,0%,0%,0%,0,8%,0,10%,4
44,Organic Animal Cracker,$3.99 ,16 oz,$0.25/oz,16 Crackers,120,3%,2,0%,0,0,0%,0,5%,120,8%,24,2%,0.5,6,2,0%,0%,0%,0,4%,0,0%,0
45,Apple Banana Fruit Bar,$0.99 ,1.06 oz,$0.93/oz,1 bar,80,0%,0,0%,0,0,0%,0,0%,0,8%,21,7%,2,16,1,0,0,0%,1,0%,0,5%,241
46,Fruit Bar Apple + Coconut,$0.99 ,1.06 oz,$0.93/oz,1 bar,90,3%,2,10%,2,0,0%,0,0%,0,6%,18,8%,2,11,0,0%,2%,0%,0,4%,0,0,0
47,Fruit Bar Apple + Mango,$0.99 ,1.06 oz,$0.93/oz,1 bar,80,0%,0,0%,0,0,0%,0,0%,0,8%,21,7%,2,18,0,0,0,1%,10,0%,0,4%,173
48,Apple & Strawberry  Fruit Bars,$0.99 ,1.06 oz,$0.93/oz,1 bar ,80,0%,0,0%,0,0,0%,0,0%,10,6%,17,11%,3,13,0,0,0,1%,7,0%,0,7%,311
49,Apple Apricot Diet Fruit Bars,$0.69 ,0.7 oz,$0.99/oz,1 bar ,50,0%,0,0%,0,0,0%,0,0%,0,4%,11,8%,2,9,0,0%,35%,0%,0,0%,0,0,0
50,"Jam, Apple Cider",$3.49 ,10 oz,$0.35/oz,1 tbsp,30,0%,0,0%,0,0,5%,0,0%,10,3%,7,0%,0,7,0,0,0,0,0,0,0,0,0
51,"Apple Cider Vinegar, Organic",$2.49 ,16.9 fl oz,$0.15/fl oz,1 tbsp,10,0%,0,0%,0,0,0%,0,0%,0,0%,0.5,0%,0,0,0,0,0,0,0,0,0,0,0
52,Oatmeal Bites Apple Cinnamon,$3.99 ,9.2 oz,$0.43/oz,3 pieces,240,14%,11,18%,3.5,0,7%,20,18%,410,11%,30,11%,3,11,5,0,0,7%,90,5%,1,4%,210
53,Apple Juice,$2.99 ,64 fl oz,$0.05/fl oz,8 fl oz,120,0%,0,0,0,0,0,0,1%,35,10%,30,0,0,30,0,0,100%,0,0,0,0,0,0
54,"Dried Fruit Bar, Apple Raspberry",$0.69 ,0.7 oz,$0.99/oz,1 bar ,60,0%,0,0%,0,0,0%,0,0%,0,5%,15,8%,2,11,0,0%,20%,0%,0,0%,0,3%,90
55,"Dried Fruit Bar, Apple Strawberry",$0.69 ,0.7 oz,$0.99/oz,1 bar ,60,0%,0,0%,0,0,0%,0,0%,0,4%,12,8%,2,10,0,0%,15%,0,0,0,0,4%,125
56,Pinata Apples,$5.99 ,5 lb,$1.20/lb,1 med apple,80,0%,0,0%,0,0,0%,0,0%,0,7%,21,16%,4,16,0,2%,10%,0%,0,2%,0,0,0
57,Organic Granny Smith Apples,$0.69 ,1 ea,$0.69/ea,1 med apple,80,0%,0,0%,0,0,0%,0,0%,0,7%,22,16%,4,16,0,2%,12%,0%,0,2%,0,5%,170
58,Gala Apple,$2.99 ,2 lb,$1.50/lb,1 med apple,80,0%,0,0%,0,0,0%,0,0%,0,7%,22,16%,4,16,0,2%,12%,0%,0,2%,0,0,0
59,Pink Lady Apple,$5.99 ,3 lb,$2.00/lb,1 med apple,80,0%,0,0%,0,0,0%,0,0%,0,7%,22,16%,4,16,0,2%,12%,0%,0,2%,0,0,0
60,Honeycrisp Apple,$1.49 ,1 ea,$1.49/ea,1 med apple,80,0%,0,0%,0,0,0%,0,0%,0,7%,22,16%,4,16,0,2%,12%,0%,0,2%,0,0,0
61,Granny Smith Apples,$2.99 ,2 lb,$1.50/lb,1 med apple,80,0%,0,0%,0,0,0%,0,0%,0,7%,22,16%,4,16,0,2%,12%,0%,0,2%,0,0,0
62,Organic Fuji Apple,$2.99 ,2 lb,$1.50/lb,1 med apple,80,0%,0,0%,0,0,0%,0,0%,0,7%,22,16%,4,16,0,2%,12%,0%,0,2%,0,0,0
63,"Preserves, Apricots",$4.29 ,17.5 oz,$0.25/oz,1 tbsp,60,0%,0,0,0,0,0,0,0,0,5%,14,0,0,13,0,0,0,0,0,0,0,0,0
64,Artichoke Antipasto,$2.49 ,12 oz,$0.21/oz,2 tbs,70,11%,7,0%,0,0,0%,0,8%,180,1%,3,4%,1,0,0,0%,0%,0%,0,0%,0,0%,0
65,Artichoke Hearts,$3.29 ,12 oz,$0.27/oz,.5 cup,35,0%,0,0%,0,0,0%,0,1%,20,2%,7,16%,4,1,2,0%,4%,2%,0,3%,0,7%,250
66,Artichoke Timbales,$4.99 ,14.1 oz,$0.35/oz,1 piece,130,12%,9,15%,3,0,2%,5,24%,550,3%,7,18%,5,1,4,0,0,9%,120,3%,1,6%,290
67,Asian vegetable Stir Fry,$5.49 ,1 lb,$5.49/lb,.5 cup,25,0%,0,0%,0,0,0%,0,1%,20,2%,5,8%,2,2,2,35%,60%,2%,0,2%,0,5%,188
68,Asian Style Spicy Peanut Vinaigrette,$2.99 ,12 fl oz,$0.25/fl oz,2 tbsp,80,8%,5,3%,0.5,0,0%,0,13%,300,3%,10,0%,0,9,1,0%,2%,0%,0,2%,0,0,0
69,Asian Vegetable with Beijing Style Soy Sauce,$4.99 ,18 oz,$0.28/oz,1 cup,100,0%,0,0%,0,0,0%,0,30%,700,4%,11,14%,4,12,4,0,0,4%,51,6%,1,4%,174
70,Shrimp Stir Fry,$3.29 ,16 oz,$0.21/oz,1 cup,60,0%,0,0%,0,0,13%,40,12%,270,2%,5,11%,3,3,8,0,0,5%,63,6%,1,4%,202
71,Asparagus,$2.99 ,12 oz,$0.25/oz,4 spears ,15,0%,0,0%,0,0,0%,0,0%,0,1%,3,8%,2,2,2,15%,8%,2%,0,10%,0,0,0
72,Farm Raised Atlantic Salmon,$8.99 ,16 oz,$0.56/oz,1 fillet ,240,19%,15,18%,3.5,0,20%,60,3%,65,0%,0,0%,0,0,23,0,0,1%,10,2%,0,9%,410
73,Avocado Oil,$7.99 ,16.9 fl oz,$0.47/fl oz,1 tbsp,120,22%,14,13%,2.5,0,0%,0,0%,0,0%,0,0%,0,0,0,0,0,0,0,0,0,0,0
74,Avocados,$1.99 ,1 ea,$1.99/ea,1 avocado,322,45%,29,22%,4.3,0,0%,0,1%,14,6%,17,56%,14,1,4,6%,34%,2%,0,6%,0,0,0
75,Organic Hass Avocado,$2.99 ,6 ct,$0.50/ct,.5 fruit,114,15%,10,8%,1.5,0,0%,0,0%,5.4,2%,5.9,18%,4.6,0,1,0%,0%,1%,0,2%,0,0,0
76,BBQ & Black pepper Toscano Chopped Salad,$3.49 ,11 oz,$0.32/oz,1 serving ,140,12%,9,15%,3,0,2%,5,9%,200,5%,15,7%,2,8,4,0,0,8%,100,4%,1,4%,170
77,BBQ rub and Seasoning with Coffee & Garlic,$2.29 ,3.5 oz,$0.65/oz,.3 tsp,0,0%,0,0,0,0,0,0,2%,50,0%,0,0,0,0,0,0,0,0,0,0,0,0,0
78,BBQ Sauce Kansas city style,$2.99 ,18 oz,$0.17/oz,2 tbsp,45,0%,0,0%,0,0,0%,0,11%,250,4%,11,0%,0,10,1,0,0,0,0,0,0,0,0
79,Organic Kansas city style BBQ sauce,$2.69 ,18 oz,$0.15/oz,2 tbsp,45,0%,0,0%,0,0,0%,0,11%,250,4%,11,0%,0,10,1,0,0,0,0,0,0,0,0
80,Sweet & Spicy Pineapple BBQ Sauce,$2.99 ,19.5 oz,$0.15/oz,2 tbsp,50,0%,0,0%,0,1,0%,0,11%,250,4%,11,0%,0,10,1,0,0,0,0,0,0,0,0
81,Arugulas Organic,$2.49 ,7 oz,$0.36/oz,3 oz,20,1%,0.5,0%,0,0,0%,0,1%,25,1%,3,4%,1,2,2,0,0,10%,136,6%,1,7%,314
82,Baby Back Pork Rips ,$6.99 ,1 lb,$6.99/lb,5 oz,320,29%,19,35%,7,0,28%,85,22%,530,5%,16,0%,0,13,22,6%,0%,10%,0,20%,0,0,0
83,Baby Beets,$2.29 ,8 oz,$0.29/oz,2 baby beets,40,0%,0,0%,0,0,0%,0,1%,30,3%,8,8%,2,7,1,0%,4%,2%,0,4%,0,0,0
84,Baby Broccoli,$3.79 ,8 oz,$0.47/oz,1 cup,35,1%,0.5,0%,0,0,0%,0,2%,35,3%,7,14%,4,1,2,0,0,6%,80,4%,1,7%,340
85,Organic Carrots of many colors,$2.29 ,12 oz,$0.19/oz,1 carrot,30,0%,0,0%,0,0,0%,0,3%,60,2%,7,8%,2,5,1,110%,10%,2%,0,2%,0,0,0
86,"Organic Carrots of many colors, Cut and peeled",$1.49 ,16 oz,$0.09/oz, 3 oz,40,0%,0,0%,0,0,0%,0,2%,35,3%,9,11%,3,6,1,0,0,2%,26,0,0,6%,282
87,Cauliflower,$2.69 ,12 oz,$0.22/oz,.2 med head,20,0%,0,0%,0,0,0%,0,1%,25,2%,5,8%,2,2,2,0%,60%,1%,0,2%,0,0,0
88,Organics Lettuce mix,$2.49 ,5 oz,$0.50/oz,5 oz,25,0%,0,0%,0,0,0%,0,1%,25,1%,4,7%,2,1,2,0,0,4%,48,6%,1,7%,314
89,Organic baby Red Butter Lettuce& baby spinach blend,$2.29 ,5 oz,$0.46/oz,2 cups,15,0%,0,0%,0,0,0%,0,2%,35,1%,2,4%,1,1,2,0,0,5%,60,9%,2,7%,340
90,Baby Spinach,$2.29 ,6 oz,$0.38/oz,2 cups,20,0%,0,0%,0,0,0%,0,3%,65,1%,3,7%,2,0,2,0,0,6%,80,13%,2,10%,470
91,baby sweet bell peppers,$3.79 ,1 lb,$3.79/lb,1 mini pepper,8.7,0%,0.1,0%,0,0,0%,0,0%,1.1,1%,1.7,2%,0.6,1,0,0,0,0,0,0,0,0,0
92,baby zucchini,$2.49 ,12 oz,$0.21/oz,.8 cup,15,0%,0,0%,0,0,0%,0,0%,5,1%,3,4%,1,2,1,4%,25%,2%,0,1%,0,6%,220
93,Bagels,$2.49 ,6 ct,$0.42/ct,1 bagel,320,6%,4,3%,0.5,0,0%,0,17%,410,21%,64,8%,2,7,11,0%,0%,4%,0,15%,0,0,0
94,Everything Bagels,$1.99 ,6 ct,$0.33/ct,1 bagel,240,4%,3,3%,0.5,0,0%,0,8%,190,17%,46,7%,2,3,8,0,0,5%,60,16%,3,3%,120
95,organic baked beans,$1.49 ,15 oz,$0.10/oz,.5 cup,140,0%,0,0%,0,0,0%,0,19%,450,10%,29,28%,7,10,7,0%,2%,4%,0,15%,0,0,0
96,"Organic baked tofu,teriyaki flavor",$3.99 ,7 oz,$0.57/oz,1 piece,190,12%,8,5%,1,0,0%,0,22%,530,5%,15,12%,3,2,15,0%,4%,6%,0,17%,0,0,0
97,Caramel Sea Salt baking chip,$2.49 ,10 oz,$0.25/oz,1 tbsp,80,5%,4,18%,3.5,0,0%,0,3%,65,4%,10,0%,0,10,0,0,0,1%,10,1%,0,1%,30
98,baking powder,$1.49 ,8.1 oz,$0.18/oz,.1 tsp,0,0%,0,0,0,0,0,0,2%,55,0%,0,0,0,0,0,0,0,0,0,0,0,0,0
99,organic balsamic vinegar of modena,$3.49 ,12 fl oz,$0.29/fl oz,1 tbsp,45,0%,0,0,0,0,0,0,0%,10,4%,10,0%,0,9,0,0,0,0,0,0,0,0,0
100,Fat free balsamic vinaigrette,$1.99 ,8 oz,$0.25/oz,2 tbsp,25,0%,0,0%,0,0,0%,0,7%,170,2%,6,0%,0,5,0,0,0,0,0,0,0,0,0
101,Balsamic vinaigrette,$2.79 ,12 oz,$0.23/oz,2 tbsp,25,0%,0,0%,0,0,0%,0,7%,170,2%,6,0%,0,5,0,0,0,0,0,0,0,0,0
102,Bambino Pepperoni pizza,$4.29 ,(4 Pack) 4.95 oz,$0.22/oz,1 pizza,280,18%,12,30%,6,0,8%,25,33%,790,10%,31,4%,1,1,13,15%,10%,20%,0,6%,0,0,0
103,Bambino pizza,$3.79 ,(4 Pack) 4 oz,$0.24/oz,1 pizza,250,14%,9,25%,5,0,7%,20,27%,650,10%,30,4%,1,3,11,15%,10%,20%,0,6%,0,0,0
104,Banana bread with Walnut,$4.99 ,16 oz,$0.31/oz,.1 loaf,210,12%,9,3%,0.5,0,0%,0,5%,125,11%,30,2%,0.5,17,2,0,0,0,0,0,0,0,0
105,Thia Banana Fritter,$3.79 ,6.7 oz,$0.57/oz,.5 package,270,15%,12,25%,5,0,0%,0,4%,100,13%,37,11%,3,19,2,0,0,0,0,0,0,0,0
106,"Bao buns, Philly Cheesesteak",$3.49 ,7.05 oz,$0.50/oz,2 buns,210,6%,5,13%,2.5,0,5%,15,13%,300,12%,32,11%,3,5,10,0,0,8%,100,3%,1,3%,130
107,Bartlett pears,$0.79 ,1 ea,$0.79/ea,1 med pear,100,0%,0,0%,0,0,0%,0,0%,0,9%,26,20%,5,16,1,0%,12%,2%,0,2%,0,0,0
108,organic fresh basil,$1.99 ,0.3 oz,$6.63/oz,1 leaf,0,0%,0,0%,0,0,0%,0,0%,0,0%,0,0%,0,0,0,0,0,0,0,0,0,0,0
109,Basmati rice,$4.49 ,2 lb,$2.25/lb,.3 cup,160,0%,0,0%,0,0,0%,0,0%,0,13%,36,4%,1,0,4,0,0,0,0,0,0,1%,63
110,"Burrito, 99% Fat free bean & rice",$2.99 ,12 oz,$0.25/oz,1 burrito,260,2%,1,0%,0,0,0%,0,20%,490,16%,48,28%,7,2,13,10%,25%,10%,0,15%,0,0,0
111,Beef & Broccoli entrée,$6.99 ,24 oz,$0.29/oz,1 cup,230,10%,8,10%,2,0,5%,15,18%,410,11%,31,7%,2,18,8,0,0,2%,20,10%,2,5%,230
112,Beef Broth organic,$2.99 ,17 oz,$0.18/oz,1 cup,15,0%,0,0%,0,0,1%,2.5,24%,570,0%,1,0%,0,1,2,0%,0%,2%,0,2%,0,0,0
113,Beef bone broth,$2.49 ,32 fl oz,$0.08/fl oz,1 cup,45,0%,0,0%,0,0,0%,0,12%,280,0%,0,0%,0,0,10,0,0,2%,20,0,0,1%,50
114,Angus beef chili with beans,$2.79 ,15 oz,$0.19/oz,1 cup,310,21%,16,25%,5,1,15%,45,33%,760,9%,25,21%,6,5,18,0,0,6%,78,30%,5,15%,705
115,Beef tip top roast,$6.99 ,1 lb,$6.99/lb,4 oz,180,5%,10,18%,3.5,0,23%,70,15%,370,0%,0.5,0%,0,0,21,2%,0%,4%,0,10%,0,0,0
116,Beef Short rips,$11.99 ,20 oz,$0.60/oz,3 oz ,190,18%,14,30%,6,1,20%,60,14%,330,0%,0,0%,0,0,14,0,0,1%,10,10%,2,5%,220
117,Beef sirloin taco kit,$9.99 ,1 lb,$9.99/lb,1 taco ,270,15%,12,25%,5,0,12%,35,30%,680,10%,27,4%,1,1,14,0,0,10%,130,10%,2,5%,250
118,beef stew ,$9.99 ,1 lb,$9.99/lb,1 cup,260,17%,11,18%,3.5,0,22%,65,24%,580,5%,15,8%,2,4,24,90%,4%,4%,0,15%,0,0,0
119,beef less ground beef,$2.99 ,12 oz,$0.25/oz,.3 cup,60,2%,1,0%,0,0,0%,0,11%,270,1%,4,12%,3,1,9,0%,10%,6%,0,15%,0,0,0
120,bell peppers,$2.99 ,14 oz,$0.21/oz,1 pepper,30,0%,0,0%,0,0,0%,0,0%,0,3%,7,4%,1,3,1,0,0,1%,10,3%,1,4%,210
121,soft pretzels,$2.49 ,10.6 oz,$0.23/oz,1 pretzel,270,5%,4,0%,0,0,0%,0,19%,440,15%,40,7%,2,3,7,0,0,2%,20,6%,1,2%,90
122,Assorted chocolate half - dipped almond biscotti,$3.99 ,8 oz,$0.50/oz,1 piece ,160,10%,8,15%,3,0,7%,20,2%,50,7%,20,4%,1,11,3,0,0,2%,30,6%,1,1%,70
123,Soft bite mini chocolate hazelnut biscotti,$3.99 ,10 oz,$0.40/oz,3 cookies,170,12%,8,18%,3.5,0,8%,25,3%,75,8%,23,8%,2,13,3,2%,0%,4%,0,10%,0,0,0
124,Soft bite mini Almond biscotti,$4.49 ,10 oz,$0.45/oz,3 pieces,130,9%,6,10%,2,0,8%,25,2%,55,6%,18,2%,0.5,9,2,2%,0%,2%,0,4%,0,0,0
125,"bite size wheats, frosted maple & brown sugar shredded",$2.99 ,25.5 oz,$0.12/oz,1 cup,220,2%,1,0%,0,0,0%,0,0%,10,17%,52,24%,6,12,5,0%,0%,0%,0,98%,0,0,0
126,black bean & cheese Taquitos,$3.99 ,16 oz,$0.25/oz,2 taquitos,190,9%,7,8%,1.5,0,2%,5,10%,230,9%,26,18%,5,1,5,0,0,0,0,0,0,0,0
127,Quinoa & Black bean infused with Tortilla chips,$3.29 ,12 oz,$0.27/oz,8 chips,180,9%,7,3%,0.5,0,0%,0,2%,40,7%,18,11%,3,0,2,0,0,2%,20,3%,1,2%,80
128,latin black bean soup,$2.79 ,32 oz,$0.09/oz,1 cup,80,2%,1,0%,0,0,0%,0,20%,490,4%,12,12%,3,1,4,0%,0%,2%,0,8%,0,0,0
129,organic black bean,$0.99 ,15 oz,$0.07/oz,.5 cup,110,0%,0,0%,0,0,0%,0,6%,130,5%,14,11%,3,0,5,0,0,2%,30,6%,1,7%,330
130,black bean,$0.79 ,15.5 oz,$0.05/oz,2 tbsp ,40,1%,1,0%,0,0,0%,0,3%,70,2%,6,7%,2,1,2,0,0,2%,26,0%,0,2%,94
131,black cold brew coffee,$1.79 ,8 fl oz,$0.22/fl oz,1 can ,10,0%,0,0%,0,0,0%,0,0%,10,1%,2,0%,0,0,1,0%,0%,1%,0,1%,0,0,0
132,coconut cold brew coffee,$1.99 ,8 fl oz,$0.25/fl oz,4 fl oz ,10,0%,0,0%,0,0,0%,0,0%,0,1%,2,0%,0,0,1,0,0,0,0,0,0,0,0
133,black garlic,$2.99 ,1.02 oz,$2.93/oz,1 tbsp,35,0%,0,0%,0,0,0%,0,0%,0,3%,8,0,0,0,1,0,0,0,0,0,0,0,0
134,"black olives, large pitted",$1.59 ,6 oz,$0.27/oz,3 olives,25,4%,2.5,0%,0,0,0%,0,5%,110,0%,1,0%,0,0,0,0,0,0,0,0,0,0,0
135,rainbow peppercorns,$2.29 ,1.8 oz,$1.27/oz,.3 tsp,0,0%,0,0%,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
136,"non diary frozen dessert with Tapioca pearls, black tea",$4.49 ,16 fl oz,$0.28/fl oz,0.7 cup,240,6%,5,23%,4.5,0,0%,0,6%,135,17%,47,4%,1,31,1,0,0,0,0,0,0,0,0
