Product,Serving size,Calories,Total Fat,Total Fat(g),Saturated fat,Saturated Fat(g),Trans Fat(g),Cholesterol,Cholesterol(mg),Sodium,Sodium(mg),Total Carbohydrates,Total Carbohydrates(g),Dietery Fiber,Dietery Fiber(g),Sugars(g),Protein(g),Vitamin A,Vitamin C,Calcium,Calcium(mg),Iron,Iron(mg),Potassium,Potassium(mg)
"bite size wheats, frosted maple & brown sugar shredded",1 cup,220,2%,1,0%,0,0 ,0%,0,0%,10,17%,52,24%,6,12 ,5 ,0%,0%,0%,,98%,,,
black bean & cheese Taquitos,2 taquitos,190,9%,7,8%,1.5,0 ,2%,5,10%,230,9%,26,18%,5,1 ,5 ,,,,,,,,
Quinoa & Black bean infused with Tortilla chips,8 chips,180,9%,7,3%,0.5,0 ,0%,0,2%,40,7%,18,11%,3,0 ,2 ,,,2%,20 ,3%,1 ,2%,80 
latin black bean soup,1 cup,80,2%,1,0%,0,0 ,0%,0,20%,490,4%,12,12%,3,1 ,4 ,0%,0%,2%,,8%,,,
organic black bean,.5 cup,110,0%,0,0%,0,0 ,0%,0,6%,130,5%,14,11%,3,0 ,5 ,,,2%,30 ,6%,1 ,7%,330 
black bean,2 tbsp ,40,1%,1,0%,0,0 ,0%,0,3%,70,2%,6,7%,2,1 ,2 ,,,2%,26 ,0%,0 ,2%,94 
black cold brew coffee,1 can ,10,0%,0,0%,0,0 ,0%,0,0%,10,1%,2,0%,0,0 ,1 ,0%,0%,1%,,1%,,,
black cold brew coffee arabica,1 can,10,0%,0,0%,0,0 ,0%,0,0%,10,1%,2,0%,0,0 ,0 ,,,,,,,,
coconut cold brew coffee,4 fl oz ,10,0%,0,0%,0,0 ,0%,0,0%,0,1%,2,0%,0,0 ,1 ,,,,,,,,
black garlic,1 tbsp,35,0%,0,0%,0,0 ,0%,0,0%,0,3%,8,,,0 ,1 ,,,,,,,,
black olives,2 tbsp,20,2%,1.5,0%,0,0 ,0%,0,6%,140,0%,1,2%,0.5,0 ,0 ,,,,,,,,
"black olives, large pitted",3 olives,25,4%,2.5,0%,0,0 ,0%,0,5%,110,0%,1,0%,0,0 ,0 ,,,,,,,,
rainbow peppercorns,.3 tsp,0,0%,0,0%,0,0 ,0%,,,,,,,,0 ,0 ,,,,,,,,
"non diary frozen dessert with Tapioca pearls, black tea",0.7 cup,240,6%,5,23%,4.5,0 ,0%,0,6%,135,17%,47,4%,1,31 ,1 ,,,,,,,,
blondie bar baking mix,.1 pkg dry mix,130,4%,2.5,8%,1.5,0 ,0%,0,8%,190,8%,25,2%,0.5,15 ,1 ,0%,0%,1%,,7%,,,
bloody mary salsa,2 tbsp,10,0%,0,0%,0,0 ,0%,0,3%,70,1%,2,0%,0,1 ,0 ,,,,,,,,
blue agave sweetner,1 tbsp,60,,,,,,,,,,,,,,16 ,0 ,,,,,,,,
organic blue corn & wheat tortillas,1 tortillas,90,1%,1,0%,0,0 ,0%,0,7%,150,6%,16,7%,2,0 ,4 ,,,9%,120 ,3%,1 ,0%,0 
blueberries,1 cup frozen,70,2%,1,0%,0,0 ,0%,0,0%,0,6%,17,16%,4,12 ,1 ,2%,6%,1%,,2%,,,
fresh blueberries,1 tbsp,50,0%,0,,,,,,,,5%,13,,,12 ,0 ,,,,,,,,
100% blueberry juice,8 fl oz,100,0%,0,0%,0,0 ,0%,0,1%,15,8%,24,0%,0,19 ,0 ,,,,,,,,
"almond beverage, blueberry lavender",1 cup,60,3%,2.5,0%,0,0 ,0%,0,4%,100,3%,9,2%,0.5,7 ,1 ,,,,,,,,
blueberry muffins,1 muffins ,360,22%,14,8%,1.5,0 ,10%,30,15%,360,17%,51,4%,1,23 ,5 ,0%,2%,6%,,8%,,,
gluten free blueberrt muffins,1 muffins ,260,17%,11,5%,1,0 ,13%,40,15%,370,13%,39,8%,2,22 ,4 ,2%,0%,4%,,4%,,,
bolognese style pasta sauce,0.5 cup,70,5%,4,5%,1,0 ,3%,10,22%,500,2%,6,4%,1,3 ,4 ,,,,,,,,
italian bomba hot pepper sauce,2 tbsp,60,8%,6,3%,0.5,0 ,0%,0,8%,190,0%,1,0%,0,1 ,0 ,,,,,,,,
ice cream bon bons,1 bon bon,60,6%,4,13%,2.5,0 ,2%,5,1%,15,2%,7,0%,0,5 ,1 ,0%,0%,8%,,4%,,,
boneless pork tenderloin,3.5 oz,130,8%,5,10%,2,0 ,22%,65,2%,50,0%,0,0%,0,0 ,21 ,0%,0%,0%,,8%,,,
Fresh atlantic Salmon boneless fillet,4 oz,230,19%,15,18%,3.5,0 ,20%,60,3%,65,0%,0,0%,0,0 ,23 ,,,,,,,,
boneless heirloom chicken thighs,4 oz,170,12%,9,13%,2.5,0 ,42%,125,0%,0,0%,0,0%,0,0 ,21 ,,,,,,,,
bran flakes,0.8 cup,100,1%,0.5,0%,0,0 ,0%,0,9%,220,8%,24,20%,5,6 ,9 ,35%,35%,0%,,45%,,,
Branzino fillet european sea bass,1 fillet ,110,3%,2.5,3%,0.5,0 ,15%,45,3%,75,0%,0,0%,0,0 ,21 ,,,,,,,,
raw brazil nuts,7 pieces,170,29%,19,23%,4.5,0 ,0%,0,0%,0,1%,4,8%,2,1 ,4 ,0%,0%,4%,,6%,,,
breaded chicken tenderloin,3 oz,200,14%,9,13%,2.5,0 ,13%,40,17%,400,5%,14,0%,0,0 ,15 ,2%,0%,0%,,3%,,,
breaded mozarella cheese stick,3 pieces,260,19%,15,35%,7,0 ,8%,25,21%,480,7%,18,0%,0,1 ,13 ,,,,,,,,
breaded fried ravioli,4 ravioli,240,13%,10,15%,3,0 ,5%,15,27%,630,11%,30,7%,2,3 ,7 ,,,,,,,,
gluten free breaded shrimp,.3 package,260,21%,16,35%,7,0 ,30%,90,21%,480,5%,13,7%,2,1 ,7 ,,,,,,,,
gluten free brioche bread,1 slice,120,4%,3,8%,1.5,0 ,7%,20,8%,190,7%,20,4%,1,5 ,2 ,,,,,,,,
brioche buns,1 brioche,280,14%,9,23%,4.5,0 ,17%,50,18%,440,15%,44,12%,3,5 ,6 ,6%,0%,2%,,15%,,,
brioche hotdog buns,1 roll,170,3%,2.5,5%,1,0 ,3%,10,10%,230,12%,32,2%,0.5,5 ,5 ,,,,,,,,
brioche toasts,4 slices,140,5%,3.5,0%,0,0 ,3%,10,7%,160,8%,24,4%,1,4 ,3 ,0%,6%,2%,,4%,,,
british style crumpets,1 crumpet,100,0%,0,0%,0,0 ,0%,0,11%,260,8%,22,2%,0.5,0 ,3 ,,,,,,,,
